id,label,group,shape,title,connect_to,image,size,topic_num,qn_num,qn_id,qn_text,completed,score,good_comment,bad_comment
1,,Master,image,title 1,2;3;4;5,https://raw.githubusercontent.com/pg-readify/misc/master/readify.png,50,0,0,0.0,The real question is this 1,0,0,,
2,Topic 1,Topic,oval,title 2,6;7;8,,,1,0,1.0,The real question is this 2,0,0,,
3,Topic 2,Topic,oval,title 3,9;10;11,,,2,0,2.0,The real question is this 3,0,0,,
4,Topic 3,Topic,oval,title 4,12;13;14,,,3,0,3.0,The real question is this 4,0,0,,
5,Topic 4,Topic,oval,title 5,15;16;17,,,4,0,4.0,The real question is this 5,0,0,,
6,Qn1,Question,diamond,title 6,,,,1,1,1.1,The real question is this 6,0,0,,
7,Qn2,Question,diamond,title 7,,,,1,2,1.2,The real question is this 7,0,0,,
8,Qn3,Question,diamond,title 8,,,,1,3,1.3,The real question is this 8,0,0,,
9,Qn4,Question,diamond,title 9,,,,2,1,2.1,The real question is this 9,0,0,,
10,Qn5,Question,diamond,title 10,,,,2,2,2.2,The real question is this 10,0,0,,
11,Qn6,Question,diamond,title 11,,,,2,3,2.3,The real question is this 11,0,0,,
12,Qn7,Question,diamond,title 12,,,,3,1,3.1,The real question is this 12,0,0,,
13,Qn8,Question,diamond,title 13,,,,3,2,3.2,The real question is this 13,0,0,,
14,Qn9,Question,diamond,title 14,,,,3,3,3.3,The real question is this 14,0,0,,
15,Qn10,Question,diamond,title 15,,,,4,1,4.1,The real question is this 15,0,0,,
16,Qn11,Question,diamond,title 16,,,,4,2,4.2,The real question is this 16,0,0,,
17,Qn12,Question,diamond,title 17,,,,4,3,4.3,The real question is this 17,0,0,,
